[host] embedded mode: perry staticlib in-process
[host] perry_module_init done in 16.9469ms
[host] frontend hello: {"t":"hello","proto":1,"title":"PerryTS × GPUI"}
[host] window opened
FLUSH 1790015743822 n=2
FLUSH 1790015744326 n=2
FLUSH 1790015744674 n=1
FLUSH 1790015744838 n=2
FLUSH 1790015745341 n=2
FLUSH 1790015745674 n=1
FLUSH 1790015745840 n=2
FLUSH 1790015746356 n=2
FLUSH 1790015746691 n=1
FLUSH 1790015746875 n=2
FLUSH 1790015747375 n=2
FLUSH 1790015747690 n=1
FLUSH 1790015747874 n=2
FLUSH 1790015748390 n=2
FLUSH 1790015748708 n=1
FLUSH 1790015748904 n=2
FLUSH 1790015749405 n=2
FLUSH 1790015749724 n=1
FLUSH 1790015749907 n=2
FLUSH 1790015750424 n=2
FLUSH 1790015750722 n=1
FLUSH 1790015750939 n=2
FLUSH 1790015751458 n=2
FLUSH 1790015751742 n=1
FLUSH 1790015751971 n=2
FLUSH 1790015752473 n=2
FLUSH 1790015752740 n=1
FLUSH 1790015752973 n=2
FLUSH 1790015753490 n=2
FLUSH 1790015753757 n=1
FLUSH 1790015754007 n=2
FLUSH 1790015754507 n=2
FLUSH 1790015754756 n=1
FLUSH 1790015755023 n=2
FLUSH 1790015755524 n=2
FLUSH 1790015755759 n=1
FLUSH 1790015756041 n=2
FLUSH 1790015756542 n=2
FLUSH 1790015756774 n=1
FLUSH 1790015757056 n=2
FLUSH 1790015757561 n=2
FLUSH 1790015757795 n=1
FLUSH 1790015758074 n=2
FLUSH 1790015758578 n=2
FLUSH 1790015758808 n=1
FLUSH 1790015759079 n=2
FLUSH 1790015759589 n=2
FLUSH 1790015759806 n=1
FLUSH 1790015760090 n=2
FLUSH 1790015760592 n=2
FLUSH 1790015760821 n=1
FLUSH 1790015761106 n=2
FLUSH 1790015761607 n=2
FLUSH 1790015761841 n=1
FLUSH 1790015762126 n=2
FLUSH 1790015762641 n=2
FLUSH 1790015762851 n=1
FLUSH 1790015763140 n=2
FLUSH 1790015763640 n=2
FLUSH 1790015763856 n=1
FLUSH 1790015764156 n=2
FLUSH 1790015764657 n=2
FLUSH 1790015764857 n=1
FLUSH 1790015765168 n=2
FLUSH 1790015765672 n=2
FLUSH 1790015765872 n=1
FLUSH 1790015766172 n=2
FLUSH 1790015766673 n=2
FLUSH 1790015766891 n=1
FLUSH 1790015767191 n=2
FLUSH 1790015767688 n=2
FLUSH 1790015767890 n=1
FLUSH 1790015768190 n=2
FLUSH 1790015768708 n=2
FLUSH 1790015768903 n=1
FLUSH 1790015769205 n=2
FLUSH 1790015769715 n=2
FLUSH 1790015769918 n=1
FLUSH 1790015770224 n=2
FLUSH 1790015770738 n=2
FLUSH 1790015770924 n=1
FLUSH 1790015771242 n=2
FLUSH 1790015771757 n=2
FLUSH 1790015771942 n=1
FLUSH 1790015772257 n=2
FLUSH 1790015772775 n=2
FLUSH 1790015772955 n=1
FLUSH 1790015773291 n=2
FLUSH 1790015773808 n=2
FLUSH 1790015773957 n=1
FLUSH 1790015774307 n=2
FLUSH 1790015774824 n=2
FLUSH 1790015774973 n=1
FLUSH 1790015775339 n=2
FLUSH 1790015775857 n=2
FLUSH 1790015775990 n=1
FLUSH 1790015776356 n=2
FLUSH 1790015776872 n=2
FLUSH 1790015777006 n=1
FLUSH 1790015777372 n=2
FLUSH 1790015777890 n=2
FLUSH 1790015778024 n=1
FLUSH 1790015778405 n=2
FLUSH 1790015778923 n=2
FLUSH 1790015779023 n=1
FLUSH 1790015779422 n=2
FLUSH 1790015779925 n=2
FLUSH 1790015780022 n=1
FLUSH 1790015780439 n=2
FLUSH 1790015780957 n=2
FLUSH 1790015781038 n=1
FLUSH 1790015781472 n=2
FLUSH 1790015781989 n=2
FLUSH 1790015782037 n=1
FLUSH 1790015782490 n=2
FLUSH 1790015783005 n=2
FLUSH 1790015783056 n=1
FLUSH 1790015783505 n=2
FLUSH 1790015784022 n=2
FLUSH 1790015784055 n=1
FLUSH 1790015784541 n=2
FLUSH 1790015785056 n=2
FLUSH 1790015785072 n=1
FLUSH 1790015785556 n=2
FLUSH 1790015786072 n=3
FLUSH 1790015786590 n=2
FLUSH 1790015787090 n=3
FLUSH 1790015787590 n=2
FLUSH 1790015788096 n=3
FLUSH 1790015788605 n=2
FLUSH 1790015789105 n=1
FLUSH 1790015789129 n=2
FLUSH 1790015789629 n=2
FLUSH 1790015790113 n=1
FLUSH 1790015790131 n=2
FLUSH 1790015790640 n=2
FLUSH 1790015791117 n=1
FLUSH 1790015791148 n=2
FLUSH 1790015791650 n=2
FLUSH 1790015792121 n=1
FLUSH 1790015792152 n=2
FLUSH 1790015792656 n=2
FLUSH 1790015793135 n=1
FLUSH 1790015793166 n=2
FLUSH 1790015793681 n=2
FLUSH 1790015794149 n=1
FLUSH 1790015794191 n=2
FLUSH 1790015794687 n=2
FLUSH 1790015795149 n=1
FLUSH 1790015795197 n=2
FLUSH 1790015795706 n=2
FLUSH 1790015796157 n=1
FLUSH 1790015796220 n=2
FLUSH 1790015796729 n=2
FLUSH 1790015797168 n=1
FLUSH 1790015797231 n=2
FLUSH 1790015797734 n=2
FLUSH 1790015798179 n=1
FLUSH 1790015798236 n=2
FLUSH 1790015798749 n=2
FLUSH 1790015799193 n=1
FLUSH 1790015799256 n=2
FLUSH 1790015799768 n=2
FLUSH 1790015800200 n=1
FLUSH 1790015800278 n=2
FLUSH 1790015800789 n=2
FLUSH 1790015801208 n=1
FLUSH 1790015801298 n=2
FLUSH 1790015801802 n=2
FLUSH 1790015802221 n=1
FLUSH 1790015802315 n=2
FLUSH 1790015802824 n=2
FLUSH 1790015803225 n=1
FLUSH 1790015803335 n=2
FLUSH 1790015803849 n=2
FLUSH 1790015804229 n=1
FLUSH 1790015804355 n=2
FLUSH 1790015804864 n=2
FLUSH 1790015805239 n=1
FLUSH 1790015805379 n=2
FLUSH 1790015805894 n=2
FLUSH 1790015806245 n=1
FLUSH 1790015806398 n=2
FLUSH 1790015806914 n=2
FLUSH 1790015807256 n=1
FLUSH 1790015807428 n=2
FLUSH 1790015807932 n=2
FLUSH 1790015808269 n=1
FLUSH 1790015808446 n=2
FLUSH 1790015808939 n=2
FLUSH 1790015809280 n=1
FLUSH 1790015809448 n=2
FLUSH 1790015809950 n=2
FLUSH 1790015810288 n=1
FLUSH 1790015810461 n=2
FLUSH 1790015810970 n=2
FLUSH 1790015811297 n=1
FLUSH 1790015811490 n=2
FLUSH 1790015811993 n=2
FLUSH 1790015812307 n=1
FLUSH 1790015812495 n=2
FLUSH 1790015813008 n=2
FLUSH 1790015813322 n=1
FLUSH 1790015813518 n=2
FLUSH 1790015814023 n=2
FLUSH 1790015814333 n=1
FLUSH 1790015814529 n=2
FLUSH 1790015815037 n=2
FLUSH 1790015815334 n=1
FLUSH 1790015815552 n=2
FLUSH 1790015816054 n=2
FLUSH 1790015816339 n=1
FLUSH 1790015816572 n=2
FLUSH 1790015817082 n=2
FLUSH 1790015817340 n=1
FLUSH 1790015817585 n=2
FLUSH 1790015818088 n=2
FLUSH 1790015818355 n=1
FLUSH 1790015818603 n=2
FLUSH 1790015819121 n=2
FLUSH 1790015819369 n=1
FLUSH 1790015819641 n=2
FLUSH 1790015820139 n=2
FLUSH 1790015820388 n=1
FLUSH 1790015820658 n=2
FLUSH 1790015821172 n=2
FLUSH 1790015821392 n=1
FLUSH 1790015821672 n=2
FLUSH 1790015822188 n=2
FLUSH 1790015822404 n=1
FLUSH 1790015822688 n=2
FLUSH 1790015823205 n=2
FLUSH 1790015823421 n=1
FLUSH 1790015823721 n=2
FLUSH 1790015824236 n=2
FLUSH 1790015824437 n=1
FLUSH 1790015824737 n=2
FLUSH 1790015825237 n=2
FLUSH 1790015825438 n=1
FLUSH 1790015825751 n=2
FLUSH 1790015826253 n=2
FLUSH 1790015826454 n=1
FLUSH 1790015826769 n=2
FLUSH 1790015827270 n=2
FLUSH 1790015827470 n=1
FLUSH 1790015827788 n=2
FLUSH 1790015828289 n=2
FLUSH 1790015828471 n=1
FLUSH 1790015828800 n=2
FLUSH 1790015829303 n=2
FLUSH 1790015829472 n=1
FLUSH 1790015829820 n=2
FLUSH 1790015830320 n=2
FLUSH 1790015830487 n=1
FLUSH 1790015830834 n=2
FLUSH 1790015831336 n=2
FLUSH 1790015831504 n=1
FLUSH 1790015831854 n=2
FLUSH 1790015832355 n=2
FLUSH 1790015832504 n=1
FLUSH 1790015832870 n=2
FLUSH 1790015833387 n=2
FLUSH 1790015833520 n=1
FLUSH 1790015833888 n=2
FLUSH 1790015834389 n=2
FLUSH 1790015834538 n=1
FLUSH 1790015834903 n=2
FLUSH 1790015835424 n=2
FLUSH 1790015835536 n=1
FLUSH 1790015835921 n=2
FLUSH 1790015836436 n=2
FLUSH 1790015836554 n=1
FLUSH 1790015836954 n=2
FLUSH 1790015837454 n=2
FLUSH 1790015837559 n=1
FLUSH 1790015837963 n=2
FLUSH 1790015838466 n=2
FLUSH 1790015838571 n=1
FLUSH 1790015838971 n=2
FLUSH 1790015839487 n=2
FLUSH 1790015839582 n=1
FLUSH 1790015840001 n=2
FLUSH 1790015840506 n=2
FLUSH 1790015840590 n=1
FLUSH 1790015841022 n=2
FLUSH 1790015841537 n=2
FLUSH 1790015841602 n=1
FLUSH 1790015842044 n=2
FLUSH 1790015842551 n=2
FLUSH 1790015842621 n=1
FLUSH 1790015843053 n=2
FLUSH 1790015843553 n=2
FLUSH 1790015843618 n=1
FLUSH 1790015844054 n=2
FLUSH 1790015844569 n=2
FLUSH 1790015844620 n=1
FLUSH 1790015845088 n=2
FLUSH 1790015845603 n=2
FLUSH 1790015845638 n=1
FLUSH 1790015846113 n=2
FLUSH 1790015846625 n=2
FLUSH 1790015846638 n=1
FLUSH 1790015847127 n=2
FLUSH 1790015847639 n=3
FLUSH 1790015848154 n=2
FLUSH 1790015848658 n=3
FLUSH 1790015849169 n=2
FLUSH 1790015849654 n=1
FLUSH 1790015849669 n=2
FLUSH 1790015850187 n=2
FLUSH 1790015850669 n=1
FLUSH 1790015850687 n=2
FLUSH 1790015851191 n=2
FLUSH 1790015851687 n=1
FLUSH 1790015851703 n=2
FLUSH 1790015852214 n=2
FLUSH 1790015852701 n=1
FLUSH 1790015852717 n=2
FLUSH 1790015853225 n=2
FLUSH 1790015853705 n=1
FLUSH 1790015853720 n=2
FLUSH 1790015854236 n=2
FLUSH 1790015854719 n=1
FLUSH 1790015854753 n=2
FLUSH 1790015855252 n=2
FLUSH 1790015855721 n=1
FLUSH 1790015855756 n=2
FLUSH 1790015856254 n=2
FLUSH 1790015856737 n=1
FLUSH 1790015856772 n=2
FLUSH 1790015857276 n=2
FLUSH 1790015857754 n=1
FLUSH 1790015857793 n=2
FLUSH 1790015858286 n=2
FLUSH 1790015858759 n=1
FLUSH 1790015858804 n=2
FLUSH 1790015859309 n=2
FLUSH 1790015859759 n=1
FLUSH 1790015859824 n=2
FLUSH 1790015860336 n=2
FLUSH 1790015860771 n=1
FLUSH 1790015860836 n=2
FLUSH 1790015861353 n=2
FLUSH 1790015861770 n=1
FLUSH 1790015861853 n=2
FLUSH 1790015862369 n=2
FLUSH 1790015862788 n=1
FLUSH 1790015862887 n=2
FLUSH 1790015863391 n=2
FLUSH 1790015863787 n=1
FLUSH 1790015863902 n=2
FLUSH 1790015864414 n=2
FLUSH 1790015864804 n=1
FLUSH 1790015864920 n=2
FLUSH 1790015865420 n=2
FLUSH 1790015865820 n=1
FLUSH 1790015865934 n=2
FLUSH 1790015866437 n=2
FLUSH 1790015866820 n=1
FLUSH 1790015866954 n=2
FLUSH 1790015867454 n=2
FLUSH 1790015867820 n=1
FLUSH 1790015867970 n=2
FLUSH 1790015868487 n=2
FLUSH 1790015868835 n=1
FLUSH 1790015869004 n=2
FLUSH 1790015869520 n=2
FLUSH 1790015869851 n=1
FLUSH 1790015870035 n=2
FLUSH 1790015870535 n=2
FLUSH 1790015870855 n=1
FLUSH 1790015871053 n=2
FLUSH 1790015871553 n=2
FLUSH 1790015871870 n=1
FLUSH 1790015872053 n=2
FLUSH 1790015872568 n=2
FLUSH 1790015872891 n=1
FLUSH 1790015873086 n=2
FLUSH 1790015873601 n=2
FLUSH 1790015873899 n=1
FLUSH 1790015874116 n=2
FLUSH 1790015874623 n=2
FLUSH 1790015874905 n=1
FLUSH 1790015875128 n=2
FLUSH 1790015875632 n=2
FLUSH 1790015875920 n=1
FLUSH 1790015876135 n=2
FLUSH 1790015876639 n=2
FLUSH 1790015876919 n=1
FLUSH 1790015877146 n=2
FLUSH 1790015877653 n=2
FLUSH 1790015877936 n=1
FLUSH 1790015878153 n=2
FLUSH 1790015878665 n=2
FLUSH 1790015878933 n=1
FLUSH 1790015879169 n=2
FLUSH 1790015879669 n=2
FLUSH 1790015879935 n=1
FLUSH 1790015880186 n=2
FLUSH 1790015880686 n=2
FLUSH 1790015880935 n=1
FLUSH 1790015881202 n=2
FLUSH 1790015881718 n=2
FLUSH 1790015881951 n=1
FLUSH 1790015882237 n=2
FLUSH 1790015882752 n=2
FLUSH 1790015882965 n=1
FLUSH 1790015883252 n=2
FLUSH 1790015883767 n=2
FLUSH 1790015883964 n=1
FLUSH 1790015884267 n=2
FLUSH 1790015884768 n=2
FLUSH 1790015884968 n=1
FLUSH 1790015885284 n=2
FLUSH 1790015885803 n=2
FLUSH 1790015885967 n=1
FLUSH 1790015886301 n=2
FLUSH 1790015886801 n=2
FLUSH 1790015886980 n=1
FLUSH 1790015887319 n=2
FLUSH 1790015887818 n=2
FLUSH 1790015887984 n=1
FLUSH 1790015888335 n=2
FLUSH 1790015888835 n=2
FLUSH 1790015889000 n=1
FLUSH 1790015889352 n=2
FLUSH 1790015889853 n=2
FLUSH 1790015890004 n=1
FLUSH 1790015890369 n=2
FLUSH 1790015890886 n=2
FLUSH 1790015891018 n=1
FLUSH 1790015891386 n=2
FLUSH 1790015891902 n=2
FLUSH 1790015892019 n=1
FLUSH 1790015892418 n=2
FLUSH 1790015892934 n=2
FLUSH 1790015893034 n=1
FLUSH 1790015893435 n=2
FLUSH 1790015893951 n=2
FLUSH 1790015894035 n=1
FLUSH 1790015894452 n=2
FLUSH 1790015894968 n=2
FLUSH 1790015895048 n=1
FLUSH 1790015895468 n=2
FLUSH 1790015895969 n=2
FLUSH 1790015896053 n=1
FLUSH 1790015896485 n=2
FLUSH 1790015896987 n=2
FLUSH 1790015897052 n=1
FLUSH 1790015897486 n=2
FLUSH 1790015898002 n=2
FLUSH 1790015898069 n=1
FLUSH 1790015898519 n=2
FLUSH 1790015899018 n=2
FLUSH 1790015899086 n=1
FLUSH 1790015899537 n=2
FLUSH 1790015900052 n=2
FLUSH 1790015900102 n=1
FLUSH 1790015900571 n=2
FLUSH 1790015901087 n=2
FLUSH 1790015901102 n=1
FLUSH 1790015901603 n=2
FLUSH 1790015902122 n=3
FLUSH 1790015902635 n=2
FLUSH 1790015903138 n=1
FLUSH 1790015903153 n=2
FLUSH 1790015903655 n=2
FLUSH 1790015904137 n=1
FLUSH 1790015904186 n=2
FLUSH 1790015904685 n=2
